epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,340.421,0.51219,0.84274,0.33683,0.00463,0.23747,0.99623,1,0.995,0.86463,0.99623,1,0.995,0.8713,0.6109,0.96491,0.20642,0.01024,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,347.233,0.51264,0.84069,0.34102,0.00459,0.23684,0.99795,1,0.995,0.86438,0.99795,1,0.995,0.87137,0.60659,0.97105,0.19351,0.01018,0,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,353.796,0.48658,0.7985,0.30296,0.00447,0.2291,0.98619,1,0.99464,0.8653,0.98619,1,0.99464,0.86999,0.5972,0.94325,0.18575,0.01001,0,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,360.515,0.539,0.85929,0.37581,0.00475,0.23644,1,0.98677,0.99488,0.86224,1,0.98677,0.99488,0.86388,0.62655,0.96628,0.18788,0.01056,0,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,367.152,0.53026,0.8329,0.32881,0.00479,0.24554,0.97292,1,0.99428,0.86447,0.97292,1,0.99428,0.86125,0.60341,0.9672,0.20369,0.01016,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,373.791,0.52073,0.82046,0.33521,0.005,0.22354,1,0.99697,0.995,0.86133,1,0.99697,0.995,0.8675,0.5917,0.96619,0.18251,0.00991,0,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,380.262,0.50374,0.86314,0.31338,0.00462,0.23067,0.99893,0.9878,0.99488,0.8761,0.99893,0.9878,0.99488,0.87221,0.57645,0.96454,0.18646,0.00968,0,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,387.103,0.4918,0.79221,0.30934,0.0044,0.2185,1,0.98257,0.99476,0.866,1,0.98257,0.99476,0.87144,0.57953,0.94438,0.18755,0.00972,0,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,393.855,0.48664,0.8205,0.31046,0.00446,0.23749,0.97371,1,0.99403,0.85837,0.97371,1,0.99403,0.86547,0.61599,0.97965,0.1966,0.01039,0,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,400.684,0.48827,0.80285,0.31146,0.00449,0.21586,1,0.99935,0.995,0.87534,1,0.99935,0.995,0.86604,0.59429,1.01273,0.17509,0.01002,0,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,407.18,0.51932,0.83773,0.31623,0.00487,0.24684,0.98653,1,0.99488,0.86261,0.98653,1,0.99488,0.86947,0.61562,0.98287,0.18542,0.01035,0,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,413.91,0.47361,0.78875,0.30398,0.00437,0.20962,1,0.9869,0.995,0.87545,1,0.9869,0.995,0.86933,0.57548,0.95862,0.18561,0.00966,0,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,420.321,0.51647,0.80642,0.32633,0.00455,0.25022,0.99765,1,0.995,0.86917,0.99765,1,0.995,0.86697,0.60115,1.00333,0.17304,0.01009,0,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,427.121,0.51777,0.80651,0.32047,0.00462,0.2306,1,0.98737,0.995,0.85868,1,0.98737,0.995,0.86675,0.63468,0.99892,0.20207,0.01068,0,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,433.785,0.50327,0.83504,0.30122,0.00435,0.21771,0.9875,1,0.99488,0.87214,0.9875,1,0.99488,0.87076,0.58582,0.96932,0.17658,0.0098,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,440.518,0.49978,0.80235,0.30048,0.00442,0.21985,0.9885,0.9878,0.99488,0.87615,0.9885,0.9878,0.99488,0.87231,0.57354,0.95662,0.18744,0.00958,0,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,447.379,0.4759,0.7807,0.27764,0.00446,0.20229,1,0.98763,0.995,0.86613,1,0.98763,0.995,0.87414,0.59453,0.96202,0.18414,0.01001,0,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,454.509,0.5365,0.84998,0.30904,0.00492,0.24876,0.9984,0.97561,0.99464,0.8677,0.9984,0.97561,0.99464,0.87225,0.58062,0.97026,0.17767,0.00971,0,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,460.935,0.48557,0.80087,0.3066,0.00434,0.23872,1,0.9716,0.99441,0.86247,1,0.9716,0.99441,0.86892,0.595,0.95326,0.20097,0.00999,0,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,467.764,0.45237,0.77577,0.26954,0.00421,0.22557,0.99745,0.9878,0.99488,0.8733,0.99745,0.9878,0.99488,0.87835,0.58307,0.92926,0.18511,0.00974,0,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,474.399,0.50503,0.82209,0.31809,0.00434,0.23435,1,0.98542,0.99476,0.87242,1,0.98542,0.99476,0.87359,0.59451,0.95385,0.18605,0.00999,0,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,481.415,0.47908,0.79072,0.28676,0.00442,0.22839,0.9995,0.9878,0.99488,0.86055,0.9995,0.9878,0.99488,0.87177,0.58965,0.97416,0.18897,0.00995,0,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,488.026,0.49229,0.78816,0.3086,0.00434,0.21303,0.98778,0.98613,0.99464,0.85746,0.98778,0.98613,0.99464,0.86493,0.60705,0.99247,0.20308,0.0102,0,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,494.652,0.47399,0.80762,0.32684,0.00426,0.21383,0.97363,1,0.99452,0.87083,0.97363,1,0.99452,0.86843,0.59471,0.99387,0.19117,0.01,0,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,501.332,0.46596,0.7695,0.28318,0.00421,0.20615,0.9989,1,0.995,0.86418,0.9989,1,0.995,0.86761,0.5923,0.98423,0.18015,0.00999,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,507.959,0.4685,0.81701,0.28124,0.00424,0.21962,0.98596,1,0.99488,0.86804,0.98596,1,0.99488,0.87073,0.6127,0.96062,0.1885,0.01035,0,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,514.36,0.46048,0.7791,0.25812,0.0041,0.20255,1,0.99795,0.995,0.87013,1,0.99795,0.995,0.86629,0.58927,0.95804,0.19274,0.00996,0,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,521.062,0.45987,0.79709,0.28744,0.00408,0.20261,0.99838,1,0.995,0.87903,0.99838,1,0.995,0.87057,0.57362,0.95181,0.16807,0.00969,0,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,527.617,0.48542,0.80901,0.29743,0.00432,0.21794,1,0.99432,0.995,0.88077,1,0.99432,0.995,0.87676,0.58719,0.95222,0.1764,0.00993,0,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,534.213,0.46345,0.79089,0.28568,0.00423,0.22396,0.99975,1,0.995,0.88115,0.99975,1,0.995,0.87246,0.57327,0.9546,0.17368,0.00964,0,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,540.542,0.474,0.79537,0.29043,0.0042,0.20202,1,0.99844,0.995,0.87529,1,0.99844,0.995,0.87344,0.58845,0.95919,0.18633,0.0099,0,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,547.037,0.47388,0.75863,0.25753,0.00432,0.20167,0.99778,0.9878,0.99488,0.87161,0.99778,0.9878,0.99488,0.87276,0.59351,0.9619,0.1993,0.01002,0,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
